xml-id,archive-label
r2,Bamberg StA
r3,Berlin GStAPK
r4,Budapest MOL
r5,Darmstadt HessStA
r6,Den Haag NA
r7,Dresden SaechsHStA
r8,Genf AEG
r9,Graubuenden StA
r10,Hannover StA/LA
r11,Karlsruhe LA
r12,Kew NA
r13,Kopenhagen RA
r14,Lissabon ANTT
r15,Luebeck StadtA
r16,Luzern StA
r17,Madrid AHN
r18,Mailand StA
r19,Moskau RGADA
r20,Muenchen BayHStA
r21,Muenster StA/LA
r22,Paris AAE
r23,Paris NA
r24,Schleswig-Holstein LA
r25,Simancas AG
r26,Stockholm RA
r27,Turin StA
r28,Vatikan ASV
r29,Venedig StA
r30,Warschau AGAD
r31,Zuerich StA
r32,Wolfenbuettel StA/LA
r33,Wuerzburg StA
r34,Wien HHStA
r35,Genua StA
r36,Sevilla AGI
