ID,name,URL,,,,,Comment
pp0001,"Leopold I, Holy Roman Emperor",https://explore.gnd.network/gnd/118571869,,,,,Former ID61
pp0002,"Frederick III, Holy Roman Emperor",https://explore.gnd.network/gnd/118535773,,,,,Former ID61
pp0003,"Ferdinand II, Holy Roman Emperor",https://explore.gnd.network/gnd/118532510,,,,,Former ID61
pp0004,"Charles VI, Holy Roman Emperor",https://explore.gnd.network/gnd/118560107,,,,,Former ID61
pp0005,"Francis I, Holy Roman Emperor",https://explore.gnd.network/gnd/118692925,,,,,Former ID61
pp0006,"Maximilian I, Holy Roman Emperor",https://explore.gnd.network/gnd/118579371,,,,,Former ID61
pp0007,Karel von Egmond,https://explore.gnd.network/gnd/104206527,,,,,Fomer ID45
pp0008,"Charles V, Holy Roman Emperor",https://explore.gnd.network/gnd/118560093,,,,,Former ID61
pp0009,"Joseph II, Holy Roman Emperor",https://explore.gnd.network/gnd/118558404,,,,,Former ID61
pp0010,"Joseph I, Holy Roman Emperor",https://explore.gnd.network/gnd/118558390,,,,,Former ID61
pp0011,"Ferdinand I, Holy Roman Emperor",https://explore.gnd.network/gnd/118532502,,,,,Former ID61
pp0012,"Rudolph II, Holy Roman Emperor",https://explore.gnd.network/gnd/118603701,,,,,Former ID61
pp0013,"Matthias, Holy Roman Emperor",https://explore.gnd.network/gnd/119400839,,,,,Former ID61
pp0014,"Ferdinand III, Holy Roman Emperor",https://explore.gnd.network/gnd/118532529,,,,,Former ID61
pp0015,"Charles VII, Holy Roman Emperor",https://explore.gnd.network/gnd/118560115,,,,,Former ID61
pp0016,Frederick II of Prussia,https://explore.gnd.network/gnd/118535749,,,,,
pp0017,Ewald Friedrich Graf von Hertzberg,https://explore.gnd.network/gnd/116754974,,,,,
pp0018,Thomas Freiherr von Fritsch,https://explore.gnd.network/gnd/104298111,,,,,
pp0019,Maria Theresia,https://explore.gnd.network/gnd/118577867,,,,,
pp0020,George I of Great Britain,https://explore.gnd.network/gnd/118538535,,,,,
pp0021,Ulrika Eleonora of Sweden,https://explore.gnd.network/gnd/123038162,,,,,
pp0022,Adolf Friedrich von Bassewitz,https://explore.gnd.network/gnd/1243908041,,,,,
pp0023,Gustav Cronhielm af Flosta,https://explore.gnd.network/gnd/101972529X,,,,,
pp0024,Karl Gustav Dücker,https://explore.gnd.network/gnd/1019737409,,,,,
pp0025,Gustaf Adam Taube,https://explore.gnd.network/gnd/1160566828,,,,,
pp0026,Magnus Julius De la Gardie,https://explore.gnd.network/gnd/1262003539,,,,,
pp0027,Daniel Niklas von Höpken,https://explore.gnd.network/gnd/136631320,,,,,
pp0028,Louis XV of France,https://explore.gnd.network/gnd/118729438,,,,,
pp0029,Frederick the Great,https://explore.gnd.network/gnd/118535749,,,,,
pp0030,Adolf Frederick of Sweden,https://explore.gnd.network/gnd/116008652,,,,,
pp0031,Johann Julius von Hecht,https://explore.gnd.network/gnd/1074313755,,,,,
pp0032,Tobias von Boskowitz und Černahora,https://www.wikidata.org/wiki/Q632226,,,,,
pp0033,Matthäus (III.) von Spaur,https://explore.gnd.network/gnd/1165170825,,,,,
pp0034,Bernhard Perger,https://explore.gnd.network/gnd/100957420,,,,,
pp0035,Johannes Fuchsmagen,https://explore.gnd.network/gnd/136011357,,,,,
pp0036,"Eitel Friedrich II., Graf von Zollern",https://explore.gnd.network/gnd/119270277,,,,,
pp0037,Bernhard Polheim,https://explore.gnd.network/gnd/139286098,,,,,
pp0038,"Heinrich Prüschenk, Freiherr zu Stattenberg",https://explore.gnd.network/gnd/139902759,,,,,
pp0039,Johannes Kiss-Horväth de Halapsich,,,,,,
pp0040,Georg von Rottal,https://www.wikidata.org/wiki/Q89732236,,,,,
pp0041,Matthias Corvinus,https://explore.gnd.network/gnd/118579029,,,,,
pp0042,Vladislaus II of Hungary,https://explore.gnd.network/gnd/118634453,,,,,
pp0043,Tamás Bakócz,https://explore.gnd.network/gnd/120578395,,,,,
pp0044,Stephen V Báthory,https://www.wikidata.org/wiki/Q687184,,,,,
pp0045,Johann von Schellenberg,,,,,,
pp0046,Ladislaus Ország de Gút,,,,,,
pp0047,Beneš Krabitz von Weitmühl ,,,,,,
pp0048,Wilhelm Baumkircher,,,,,,
pp0049,Johannes von Ruppow,,,,,,
pp0050,Sigmund Schneidpeck,,,,,,
pp0051,Johann Sokolosky,,,,,,
pp0052,Jakob Szekely,,,,,,
pp0053,Johann Corvinus,https://explore.gnd.network/gnd/137071124,,,,,
pp0054,Otto II. von Pfalz-Mosbach,https://explore.gnd.network/gnd/12343792X,,,,,
pp0055,Johannes Bornemisza,,,,,,
pp0056,Johann Vitez,https://explore.gnd.network/gnd/1032144408,,,,,
pp0057,Niklas von Liechtenstein auf Murau,http://d-nb.info/gnd/141725087,,,,,
pp0058,Ulrich Grafenecker,https://d-nb.info/gnd/136063624,,,,,
pp0059,Georg der Fromme,https://explore.gnd.network/gnd/118716905,,,,,
pp0060,Friedrich II. Herzog von Liegnitz,https://explore.gnd.network/gnd/118535692,,,,,
pp0061,Sigismund (I) der Alte,https://explore.gnd.network/gnd/118797158,,,,,
pp0062,Albrecht von Preußen,https://explore.gnd.network/gnd/118637673,,,,,
pp0063,Kasimir IV. Andreas,https://explore.gnd.network/gnd/118990217,,,,,
pp0064,Louis II of Hungary,https://explore.gnd.network/gnd/119392895,,,,,
pp0065,Pope Leo X,https://explore.gnd.network/gnd/118640437,,,,,
